fold,model,loss,accuracy,macro_f1,balanced_accuracy
0,supervised_from_scratch,1.0748615089584799,0.6674836601307189,0.6592212015994746,0.6595287991363434
0,masked_reconstruction_ssl_plus_finetune,1.1792169483317658,0.6454248366013072,0.6277831985827028,0.6362536174690872
0,temporal_permutation_ssl_plus_finetune,0.9038753883267929,0.6764705882352942,0.6606039667015821,0.6691115768082809
1,supervised_from_scratch,0.40787917557608316,0.903448275862069,0.9022540730740775,0.903448275862069
1,masked_reconstruction_ssl_plus_finetune,0.4960549794449448,0.9073891625615763,0.9050486537282663,0.9073891625615763
1,temporal_permutation_ssl_plus_finetune,0.6145316920312021,0.9073891625615763,0.9039029255492251,0.9073891625615763
2,supervised_from_scratch,0.14122992074319127,0.9497041420118343,0.9490751031763237,0.9497536945812809
2,masked_reconstruction_ssl_plus_finetune,0.2429341804640298,0.9457593688362919,0.9450163291585093,0.9457785987958401
2,temporal_permutation_ssl_plus_finetune,0.13520935706103576,0.9595660749506904,0.9594168547274855,0.9596059113300492
3,supervised_from_scratch,0.5254756473004818,0.8840436075322101,0.8849593242203083,0.8841817186644773
3,masked_reconstruction_ssl_plus_finetune,0.597254445578818,0.8473736372646185,0.8484385242452909,0.8474822112753148
3,temporal_permutation_ssl_plus_finetune,0.21231343090807422,0.9226957383548068,0.9224048148678891,0.922783251231527
4,supervised_from_scratch,0.5172764703572269,0.808531746031746,0.8111422661436517,0.808531746031746
4,masked_reconstruction_ssl_plus_finetune,0.5600882645859013,0.8025793650793651,0.8016539547172287,0.802579365079365
4,temporal_permutation_ssl_plus_finetune,0.6424697687450264,0.810515873015873,0.812138405825728,0.8105158730158729
